Team,mu,sigma,Score,Rank
3937,31.551277053140062,1.1911748534281552,27.977752492855597,131.0
870,31.308828426441863,1.119600130678002,27.950028034407858,132.0
3620,31.220117768595678,1.0973827900720505,27.927969398379528,133.0
4334,31.68469808409983,1.252721442552659,27.926533756441852,134.0
4911,31.277440420326293,1.1227259412995976,27.9092625964275,135.0
3847,31.363027515385713,1.1544832651577848,27.899577719912358,136.0
548,31.177994862963175,1.095635482063083,27.891088416773925,137.0
3339,31.27430862804133,1.1347714426460862,27.86999430010307,138.0
1305,31.2725412390261,1.1347323042744148,27.868344326202855,139.0
4253,31.473386239892786,1.2083186891911375,27.848430172319375,140.0
3528,31.579469139587037,1.2440242940039348,27.847396257575234,141.0
1640,31.078900765544432,1.0897324374800175,27.80970345310438,142.0
1025,31.09319817328284,1.1190326870857819,27.736100112025493,143.0
649,31.243056851126948,1.1706049710238546,27.731241938055383,144.0
2471,31.048818156179983,1.113178385558035,27.709282999505877,145.0
294,31.019105383523158,1.1323829234030665,27.62195661331396,146.0
2791,31.013207988363256,1.1354485273108275,27.60686240643077,147.0
2990,30.968039471241024,1.121592982501839,27.603260523735507,148.0
5803,30.936104434374787,1.1168799025638358,27.58546472668328,149.0
7021,33.056401367278355,1.8349001979491644,27.55170077343086,150.0
1024,30.82280825510594,1.1040209259094982,27.510745477377444,151.0
1318,30.821236015213184,1.103554519298072,27.51057245731897,152.0
4976,31.088209071850383,1.1930614036285976,27.50902486096459,153.0
7498,34.16416952635628,2.2244919389986446,27.49069370936035,154.0
3656,30.789322001277682,1.1022199627414637,27.48266211305329,155.0
3824,30.91111912540365,1.1610373854288705,27.42800696911704,156.0
1259,30.89859031335805,1.1669551379488579,27.397724899511477,157.0
3674,30.73344566033019,1.113486438706838,27.392986344209675,158.0
386,30.81908026091922,1.147692658845374,27.376002284383098,159.0
1885,30.63946498735514,1.0920640364756504,27.36327287792819,160.0
1747,30.622737193311757,1.092149413292299,27.346288953434858,161.0
5895,30.994413296272615,1.2163857862828302,27.345255937424124,162.0
3230,30.813184290239654,1.1658814900074883,27.31553982021719,163.0
5985,31.83552256524586,1.5071566416704223,27.314052640234593,164.0
2478,30.917819176766624,1.2053852461131032,27.301663438427315,165.0
6672,31.977521954652,1.5586442538592848,27.301589193074147,166.0
3478,30.82911857317073,1.1814633952838074,27.28472838731931,167.0
88,30.609395311355808,1.1083003400451616,27.284494291220323,168.0
2992,30.84918633820378,1.192685361697286,27.27113025311192,169.0
469,30.67976302623719,1.1363866645664864,27.27060303253773,170.0
1425,30.58172259389539,1.1083578915168615,27.256648919344805,171.0
1102,30.669339624707376,1.1390101485498025,27.252309179057967,172.0
1511,30.618802305438244,1.125875738681706,27.241175089393124,173.0
4001,30.932177215080326,1.2454667647414035,27.195776920856115,174.0
4587,30.75933057805455,1.188138637097574,27.194914666761825,175.0
1676,30.4419116467553,1.0878682143576464,27.178307003682363,176.0
1726,30.611790922540315,1.1457601468107277,27.174510482108133,177.0
4143,30.70378360288596,1.1798865578895819,27.164123929217215,178.0
1720,30.41836800149535,1.10044337925844,27.11703786372003,179.0
379,30.385798061802593,1.1029243058915925,27.077025144127816,180.0
2403,30.50834181371839,1.1440623009005486,27.076154911016744,181.0
4522,30.50814270280596,1.1461236749453056,27.069771677970042,182.0
1126,30.43441673544506,1.1217231137306487,27.06924739425311,183.0
4539,30.905899640887842,1.2797852657215505,27.066543843723192,184.0
967,30.483498964788524,1.1467489149818717,27.04325221984291,185.0
2848,30.495439173840087,1.1578095564118802,27.022010504604445,186.0
384,30.306089061586604,1.0987903204105502,27.009718100354952,187.0
3604,30.32267992755226,1.1046426259790332,27.00875204961516,188.0
1533,30.33901515503991,1.1144404091670048,26.995693927538895,189.0
245,30.307708116918956,1.1090651592750465,26.980512639093817,190.0
2607,30.254041552667495,1.0947835910893364,26.969690779399485,191.0
2363,30.2770815200896,1.1050223921451974,26.962014343654005,192.0
846,30.407594545971264,1.149343610073812,26.95956371574983,193.0
1592,30.447813497043246,1.1662871223771982,26.94895212991165,194.0
4476,30.486109738996078,1.185537861774977,26.929496153671145,195.0
2883,30.60580358726331,1.2289451165674385,26.918968237560996,196.0
5801,31.028577262095556,1.3739310343315907,26.906784159100784,197.0
2834,30.285813134473013,1.129004761451157,26.898798850119544,198.0
2200,30.31515395918306,1.139602374516753,26.8963468356328,199.0
85,30.20403124739158,1.1083368605400645,26.879020665771385,200.0
1418,30.171561842456104,1.0996198507751458,26.87270229013067,201.0
399,30.27305158478379,1.140379093353914,26.851914304722047,202.0
2169,30.253979412002835,1.1368266367593327,26.843499501724835,203.0
2383,30.269730660006825,1.1499269091590474,26.81994993252968,204.0
2062,30.174828458529046,1.1272250985013101,26.793153163025117,205.0
4265,30.31951769677019,1.1775128478159522,26.786979153322335,206.0
1987,30.192052434436512,1.1369136607059132,26.78131145231877,207.0
3536,30.10472917936393,1.113044624188747,26.76559530679769,208.0
51,30.05308615102432,1.0975086696731715,26.760560142004806,209.0
935,30.189841929790354,1.1443405623380498,26.756820242776204,210.0
4561,30.170314178354854,1.1565341950403827,26.700711593233706,211.0
6705,30.4343920212386,1.2479334157804094,26.690591773897374,212.0
5190,30.190549992705595,1.1669785678438274,26.689614289174113,213.0
1501,29.990399409021485,1.1014333412845778,26.68609938516775,214.0
1732,30.054545979509882,1.13091917122924,26.661788465822163,215.0
135,29.926752692677297,1.088488840417387,26.661286171425136,216.0
5818,30.61518872006695,1.3205140476351245,26.653646577161577,217.0
47,30.637143375174187,1.3286650112482812,26.651148341429344,218.0
48,29.997650856315246,1.1217093290367322,26.63252286920505,219.0
2194,29.949896632291434,1.1137864193848332,26.608537374136933,220.0
1540,29.8858485310418,1.093964642597876,26.60395460324817,221.0
2557,29.86432251757405,1.0970832478577592,26.57307277400077,222.0
3255,30.16433974390666,1.1996823165628059,26.56529279421824,223.0
1772,30.163540738724702,1.207371128062898,26.541427354536008,224.0
4391,29.88671652227182,1.1179892620566136,26.53274873610198,225.0
5199,30.309682171226488,1.2655888597845668,26.512915591872787,226.0
1746,29.866328469082625,1.1214416561463376,26.50200350064361,227.0
910,29.766717535824093,1.0904506863927244,26.49536547664592,228.0
3238,29.847745296049617,1.1178908713152134,26.494072682103976,229.0
3928,30.172020540781375,1.227790139193918,26.48865012319962,230.0
2928,29.77194890535091,1.1007029040190857,26.469840193293653,231.0
343,29.883515535810513,1.1419859894287199,26.457557567524354,232.0
1197,29.867230526567145,1.1476507538676681,26.42427826496414,233.0
4183,30.00338678304584,1.195130466277895,26.417995384212155,234.0
456,30.024294207375977,1.2130379781972978,26.385180272784083,235.0
1296,29.867946244531108,1.1640479703449338,26.375802333496306,236.0
60,29.814243705786534,1.1487925837265065,26.367865954607016,237.0
1011,29.78052081167221,1.1457429215377093,26.343292047059084,238.0
1731,29.64703471284967,1.103094400144113,26.33775151241733,239.0
2930,29.67086817952272,1.1140786175516526,26.328632326867762,240.0
3360,29.94033253937101,1.2066027250637332,26.32052436417981,241.0
1285,29.852263339263413,1.1778697403472216,26.318654118221747,242.0
1629,29.572589474286346,1.0861114854877187,26.31425501782319,243.0
1360,30.12818175834084,1.274230659190509,26.305489780769314,244.0
3005,29.79634554264064,1.1689144753157432,26.28960211669341,245.0
302,29.601725267302587,1.113461300034467,26.261341367199186,246.0
58,29.578622177429132,1.1063483107577976,26.25957724515574,247.0
6329,30.072651959612436,1.27202732543247,26.256569983315025,248.0
95,29.571946023154446,1.1067132035654987,26.25180641245795,249.0
3010,30.230263710618406,1.3281092294510721,26.24593602226519,250.0
4276,29.914433526423192,1.2228840895891213,26.24578125765583,251.0
3539,29.575711414264827,1.1104386630646619,26.24439542507084,252.0
2642,29.57543583404977,1.1132923432039985,26.235558804437776,253.0
768,30.011455541865868,1.2608870267868386,26.228794461505352,254.0
3003,29.705424812116327,1.15926838713151,26.2276196507218,255.0
2130,29.88640021438125,1.2201810619236542,26.22585702861029,256.0
1671,29.600453454265228,1.1284079773417495,26.21522952223998,257.0
4946,29.751378781921023,1.1792342161190328,26.213676133563926,258.0
1218,29.478524348526047,1.090264551048437,26.207730695380736,259.0
1816,29.610629052102624,1.1343499831828676,26.20757910255402,260.0
3959,29.754473448411762,1.1878001946714123,26.191072864397526,261.0
2338,29.58212673820894,1.1306416734357414,26.19020171790172,262.0
1065,29.83392436011308,1.2161541218877567,26.18546199444981,263.0
107,29.50951574226592,1.10933015324437,26.18152528253281,264.0
862,29.445279394600682,1.090634436332272,26.173376085603866,265.0
3467,29.547728081018768,1.1304378375918602,26.156414568243186,266.0
3313,30.07593925799493,1.3089583257077495,26.14906428087168,267.0
341,29.407772786637462,1.0889070226117927,26.141051718802085,268.0
79,29.575637773085763,1.1456955401697388,26.138551152576547,269.0
2512,29.58300046294968,1.154720924610131,26.11883768911929,270.0
5124,30.02115388908231,1.3019820196393364,26.1152078301643,271.0
3512,29.666235313369377,1.1839963748490647,26.114246188822182,272.0
238,29.448850674152588,1.1120101784745744,26.112820138728864,273.0
2059,29.467052699281854,1.1209551247857457,26.104187324924617,274.0
1923,29.38605232631717,1.094471101284268,26.102639022464366,275.0
2137,29.40388226360929,1.1029515828855045,26.095027514952776,276.0
4063,29.537427522878847,1.1489200273824403,26.090667440731526,277.0
2474,29.4004045430522,1.107281426269977,26.07856026424227,278.0
131,29.471497480572065,1.137631200615073,26.058603878726846,279.0
2175,29.505631617602823,1.1524320869146223,26.048335356858956,280.0
314,29.362552834525765,1.1056168586840258,26.04570225847369,281.0
236,29.357652676449746,1.1092861745776066,26.029794152716924,282.0
2075,29.327555877016387,1.1009028400877658,26.02484735675309,283.0
829,29.320146614790588,1.1026935512101121,26.01206596116025,284.0
5813,29.531915872295166,1.1789531246785871,25.995056498259405,285.0
2067,29.301465181050588,1.1063952382160276,25.982279466402506,286.0
167,29.514134063895312,1.184586104596603,25.960375750105502,287.0
3314,29.2341701422739,1.0976514170431688,25.941215891144395,288.0
1481,29.479801476346903,1.1795811553679225,25.941058010243136,289.0
5401,29.349367381439446,1.141084083380156,25.926115131298978,290.0
